method,silhouette,davies_bouldin,calinski_harabasz,inertia,scene,tp,tn,fp,fn,accuracy,precision,recall,f1,dice,iou
kmeans_rgb_full,0.5578044056892395,0.554303028296049,1592672.495014421,2626.224914550781,scene1,,,,,,,,,,
kmeans_rgb_xy_full,0.3948841691017151,0.9879899562208596,232645.4419257667,26379.12939453125,scene1,,,,,,,,,,
kmedoids_pam_reduced_sample,0.3908920288085937,1.0251531228553856,821.809871041865,87.48753547668457,scene1,,,,,,,,,,
agnes_reduced_sample,0.3508094251155853,1.126252506019207,682.8338051548843,99.8922290802002,scene1,,,,,,,,,,
high_percentile_94_largest_component,,,,,scene2,1401.0,121064.0,3521.0,1748.0,0.958750215291152,0.2846403900853311,0.4449031438551921,0.3471688762235163,0.3471688762235163,0.2100449775112443
simple_threshold_128_largest_component,,,,,scene2,2047.0,105973.0,18612.0,1102.0,0.8456636447617706,0.0990851444890846,0.6500476341695777,0.1719590053763441,0.1719590053763441,0.094067368227563
otsu_gaussian_largest_component,,,,,scene2,2051.0,35866.0,88719.0,1098.0,0.2968434402743201,0.0225955712239726,0.6513178786916481,0.0436759335171796,0.0436759335171796,0.0223255105150868
kmeans_intensity_k2_largest_component,,,,,scene2,2051.0,35866.0,88719.0,1098.0,0.2968434402743201,0.0225955712239726,0.6513178786916481,0.0436759335171796,0.0436759335171796,0.0223255105150868
tai_hsv_s20_v150_open,,,,,scene3,1009.0,164570.0,672.0,2670.0,0.980215603743762,0.6002379535990482,0.2742593095949986,0.3764925373134329,0.3764925373134329,0.2319007124798897
tai_hsv_s20_v140_open,,,,,scene3,1107.0,163512.0,1730.0,2572.0,0.9745324737599232,0.3902009164610504,0.3008969828757815,0.3397790055248618,0.3397790055248618,0.2046589018302828
dbscan_candidate_pixels,,,,,scene3,1251.0,160898.0,4344.0,2428.0,0.959910253905672,0.2235924932975871,0.3400380538189725,0.2697864998921717,0.2697864998921717,0.1559267107067181
tai_hsv_recall_s25_v80_200_close,,,,,scene3,1431.0,147385.0,17857.0,2248.0,0.8809798663280468,0.074191206968063,0.3889643924979614,0.1246135760003483,0.1246135760003483,0.0664468796433878
kmeans_road_features_k4,,,,,scene3,1339.0,138049.0,27193.0,2340.0,0.8251667939450986,0.0469297630730407,0.3639575971731448,0.0831393002390487,0.0831393002390487,0.0433726353977714
kmeans_road_features_k3,,,,,scene3,1342.0,133529.0,31713.0,2337.0,0.7984264833857246,0.0405990016638935,0.364773036151128,0.0730658245766864,0.0730658245766864,0.0379181735985533
kmeans_road_features_k5,,,,,scene3,697.0,148663.0,16579.0,2982.0,0.884200306652222,0.0403449872655707,0.1894536558847513,0.0665235027439751,0.0665235027439751,0.0344061605291736
kmeans_rgb_extra_xy_k5,,,,,scene4,29210.0,242449.0,3169.0,9738.0,0.9546432110652712,0.9021279224188518,0.7499743247406799,0.8190446815371459,0.8190446815371459,0.693544174561341
kmeans_rgb_extra_xy_k6,,,,,scene4,26478.0,242633.0,2985.0,12470.0,0.945689224995256,0.8986864881376642,0.6798295162781144,0.7740860387949308,0.7740860387949308,0.6314358619702859
extra_simple_range_70_90,,,,,scene4,29007.0,238206.0,7412.0,9941.0,0.9390194190451424,0.7964798594140421,0.7447622470986957,0.7697533403213608,0.7697533403213608,0.6256902502157032
kmeans_rgb_extra_xy_k2,,,,,scene4,28127.0,220772.0,24846.0,10821.0,0.8746617656360914,0.5309686066486701,0.7221680188969909,0.6119820280458219,0.6119820280458219,0.4409035332476408
dbscan_extra_candidates,,,,,scene4,35307.0,201786.0,43832.0,3641.0,0.8331740264121504,0.446139071759815,0.9065163808154464,0.5979828431580106,0.5979828431580106,0.4265160666827736
kmeans_rgb_extra_k5,,,,,scene4,18081.0,231668.0,13950.0,20867.0,0.8776487704082708,0.5644844057319471,0.464234363767074,0.5094746333422561,0.5094746333422561,0.3418087640364475
extra_otsu_dark_largest,,,,,scene4,37949.0,125991.0,119627.0,999.0,0.5761053674718695,0.2408298218002741,0.974350415939201,0.3862021941340498,0.3862021941340498,0.2393126280939618
kmeans_rgb_extra_xy_k4,,,,,scene4,3180.0,176102.0,69516.0,35768.0,0.6300190465480767,0.0437438098382304,0.0816473246379788,0.0569667872881659,0.0569667872881659,0.0293184835521463
kmeans_rgb_extra_xy_k3,,,,,scene4,3177.0,175902.0,69716.0,35771.0,0.629305679526015,0.0435844319756355,0.0815702988600184,0.0568127967382266,0.0568127967382266,0.0292369137892954
